Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
       270;1961-1990;        43;     146.8;     133.4;     125.3;     116.7;     115.9;     124.3;     107.4;     108.1;        94;     105.4;     152.8;     156.8;    1486.9;
       271;1961-1990;        46;     169.6;     150.2;     150.3;     130.7;     144.4;       157;     131.2;     133.4;     115.1;     129.1;     168.9;       180;      1760;
       272;1961-1990;        43;      50.6;      41.9;      52.2;      51.7;      64.8;      82.8;        73;      63.8;      54.3;      50.2;      53.8;      60.4;     699.4;
       273;1961-1990;        46;      55.4;      52.9;        53;      75.1;      97.7;     113.7;     103.2;     109.8;      79.8;      58.5;      68.2;      61.2;     928.6;
       274;1961-1990;        46;      65.4;      48.4;      59.3;      60.2;      67.1;      78.4;      72.1;      69.3;        56;      49.1;      65.3;      75.6;     766.1;
       275;1961-1990;        43;     193.5;     178.9;     181.1;     194.1;     211.2;       266;     258.7;     249.4;     176.6;     149.8;     188.2;     202.4;      2450;
       276;1961-1990;        43;      29.6;      29.3;      33.5;      45.1;      57.9;      61.1;      54.5;      58.5;      41.2;      34.3;      35.3;      36.7;       517;
       277;1961-1990;        43;      55.5;        55;      57.5;      77.9;     106.2;     110.9;      78.7;     110.4;      64.4;      63.9;      66.4;      57.3;     904.1;
       278;1961-1990;        43;      37.5;      36.5;      45.4;        46;      61.2;      66.9;      53.2;      58.6;      38.2;      32.3;        40;        40;     555.7;
       279;1961-1990;        43;      60.2;      55.7;      60.3;      77.9;      99.9;     107.5;      84.4;      90.8;      67.8;      60.2;      70.5;      65.3;     900.4;
       280;1961-1990;        43;      53.9;      44.3;      51.4;      52.9;      62.1;      80.8;      63.4;      59.6;      51.5;      49.9;      55.3;      63.8;       689;
